voice_index	voice_number	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sexConfidence
825	825	0.8	1	1.29	0.667	0.8	0.3	3.33	male	-3.1	189.34	0.74	1.29	0.14
826	826	0.8	1	1.39	0.667	0.8	0.3	0.59	male	-3.8	229.84	0.89	1.39	0.27
827	827	0.8	1	1.6	0.667	0.8	0.3	-0.94	male	-5	207.21	0.8	1.6	0.21
828	828	0.8	1	1.58	0.667	0.8	0.3	0.42	male	-4.9	211.83	0.82	1.58	0.39
829	829	0.8	1	1.13	0.667	0.8	0.3	-1.37	male	-2	216.79	0.84	1.13	0.52
830	830	0.8	1	1.27	0.667	0.8	0.3	2.25	female	-3	195.45	0.76	1.27	0.58
831	831	0.8	1	1.09	0.667	0.8	0.3	0.73	male	-1.7	218.41	0.85	1.09	0.79
832	832	0.8	1	1.56	0.667	0.8	0.3	0.71	female	-4.8	202.55	0.79	1.56	0.8
833	833	0.8	1	1.58	0.667	0.8	0.3	-2.24	female	-4.9	193.83	0.75	1.58	0.31
834	834	0.8	1	1.41	0.667	0.8	0.3	1.71	male	-3.9	152.79	0.59	1.41	0.1
835	835	0.8	1	1.26	0.667	0.8	0.3	-2.24	female	-2.9	222.14	0.86	1.26	0.43
836	836	0.8	1	1.56	0.667	0.8	0.3	0.67	male	-4.8	213.11	0.83	1.56	0.8
837	837	0.8	1	1.46	0.667	0.8	0.3	0.84	female	-4.2	191.72	0.74	1.46	0.13
838	838	0.8	1	1.58	0.667	0.8	0.3	-0.56	male	-4.9	184.96	0.72	1.58	0.8
839	839	0.8	1	1.2	0.667	0.8	0.3	1.16	male	-2.5	228.05	0.89	1.2	0.8
840	840	0.8	1	1.84	0.667	0.8	0.3	1.12	female	-6.2	155.08	0.6	1.84	0.49
841	841	0.8	1	1.41	0.667	0.8	0.3	-4.01	male	-3.9	220.47	0.86	1.41	0.41
842	842	0.8	1	1.43	0.667	0.8	0.3	-2.13	male	-4	209.18	0.81	1.43	0.54
843	843	0.8	1	1.32	0.667	0.8	0.3	0.08	male	-3.3	214.28	0.83	1.32	0.4
844	844	0.8	1	1.23	0.667	0.8	0.3	-0.83	male	-2.7	224.12	0.87	1.23	0.48
845	845	0.8	1	1.23	0.667	0.8	0.3	-1.3	ambiguous	-2.7	198.88	0.77	1.23	0.14
846	846	0.8	1	1.29	0.667	0.8	0.3	-2.19	male	-3.1	238.41	0.93	1.29	0.27
847	847	0.8	1	1.49	0.667	0.8	0.3	-1.08	male	-4.4	220.33	0.86	1.49	0.21
848	848	0.8	1	1.43	0.667	0.8	0.3	-0.19	male	-4	224.41	0.87	1.43	0.39
849	849	0.8	1	1.73	0.667	0.8	0.3	-0.69	female	-5.7	196.11	0.76	1.73	0.52
850	850	0.8	1	1.56	0.667	0.8	0.3	-0.18	female	-4.8	222	0.86	1.56	0.58
851	851	0.8	1	1.17	0.667	0.8	0.3	0.43	male	-2.3	228.64	0.89	1.17	0.79
852	852	0.8	1	1.27	0.667	0.8	0.3	0.39	male	-3	217.46	0.84	1.27	0.8
853	853	0.8	1	1.32	0.667	0.8	0.3	-1.49	female	-3.3	221.16	0.86	1.32	0.31
854	854	0.8	1	1.19	0.667	0.8	0.3	1.07	male	-2.4	191.72	0.74	1.19	0.1
855	855	0.8	1	1.46	0.667	0.8	0.3	-1.41	male	-4.2	218.41	0.85	1.46	0.43
856	856	0.8	1	1.12	0.667	0.8	0.3	-0.6	male	-1.9	212.08	0.82	1.12	0.8
857	857	0.8	1	1.19	0.667	0.8	0.3	1.96	male	-2.4	205.51	0.8	1.19	0.13
858	858	0.8	1	1.41	0.667	0.8	0.3	-0.67	male	-3.9	218.82	0.85	1.41	0.8
859	859	0.8	1	1.24	0.667	0.8	0.3	-2.47	male	-2.8	193.3	0.75	1.24	0.8
860	860	0.8	1	1.51	0.667	0.8	0.3	0.62	ambiguous	-4.5	175.54	0.68	1.51	0.49
861	861	0.8	1	1.16	0.667	0.8	0.3	1.6	male	-2.2	224.12	0.87	1.16	0.41
862	862	0.8	1	1.46	0.667	0.8	0.3	1.29	ambiguous	-4.2	174.49	0.68	1.46	0.54
863	863	0.8	1	1.02	0.667	0.8	0.3	-1.64	male	-1.1	250.48	0.97	1.02	0.4
864	864	0.8	1	1.51	0.667	0.8	0.3	-0.55	female	-4.5	194.8	0.76	1.51	0.48
865	865	0.8	1	1.36	0.667	0.8	0.3	-3.07	ambiguous	-3.6	234.13	0.91	1.36	0.14
866	866	0.8	1	1.49	0.667	0.8	0.3	-0.63	ambiguous	-4.4	183.8	0.71	1.49	0.27
867	867	0.8	1	1.46	0.667	0.8	0.3	1.72	male	-4.2	193.51	0.75	1.46	0.21
